02_20,jhu-csse,co-est2019-alldata,usafacts
72001,,,
72003,,,
72005,,,
72093,,,
72011,,,
72013,,,
72017,,,
72023,,,
72111,,,
72027,,,
72081,,,
72121,,,
72039,,,
72141,,,
72051,,,
72055,,,
72054,,,
72059,,,
72065,,,
72067,,,
72071,,,
72073,,,
72079,,,
72083,,,
72091,,,
72099,,,
72117,,,
72115,,,
72097,,,
72125,,,
72131,,,
72101,,,
72143,,,
72145,,,
72153,,,
72007,,,
72123,,,
72009,,,
72095,,,
72015,,,
72113,,,
72103,,,
72105,,,
72107,,,
72109,,,
72025,,,
72029,,,
72037,,,
72035,,,
72053,,,
72041,,,
72069,,,
72119,,,
72129,,,
72133,,,
72147,,,
72149,,,
72151,,,
72043,,,
72085,,,
72087,,,
72089,,,
72049,,,
72077,,,
72063,,,
72045,,,
72047,,,
72057,,,
72019,,,
72075,,,
72127,,,
72061,,,
72137,,,
72135,,,
72021,,,
72033,,,
72139,,,
72031,,,
25013,25013,25013,25013
25015,25015,25015,25015
25027,25027,25027,25027
25003,25003,25003,25003
25011,25011,25011,25011
25017,25017,25017,25017
25009,25009,25009,25009
25021,25021,25021,25021
25023,25023,25023,25023
25005,25005,25005,25005
25025,25025,25025,25025
25001,25001,25001,25001
25007,25007,25007,25007
25019,25019,25019,25019
44007,44007,44007,44007
44009,44009,44009,44009
44001,44001,44001,44001
44003,44003,44003,44003
44005,44005,44005,44005
33011,33011,33011,33011
33015,33015,33015,33015
33013,33013,33013,33013
33009,33009,33009,33009
33001,33001,33001,33001
33003,33003,33003,33003
33019,33019,33019,33019
33005,33005,33005,33005
33007,33007,33007,33007
33017,33017,33017,33017
23031,23031,23031,23031
23005,23005,23005,23005
23023,23023,23023,23023
23017,23017,23017,23017
23001,23001,23001,23001
23007,23007,23007,23007
23011,23011,23011,23011
23015,23015,23015,23015
23027,23027,23027,23027
23019,23019,23019,23019
23021,23021,23021,23021
23009,23009,23009,23009
23029,23029,23029,23029
23003,23003,23003,23003
23025,23025,23025,23025
23013,23013,23013,23013
50027,50027,50027,50027
50017,50017,50017,50017
50005,50005,50005,50005
50025,50025,50025,50025
50003,50003,50003,50003
50007,50007,50007,50007
50013,50013,50013,50013
50011,50011,50011,50011
50015,50015,50015,50015
50001,50001,50001,50001
50023,50023,50023,50023
50021,50021,50021,50021
50019,50019,50019,50019
50009,50009,50009,50009
9003,9003,9003,9003
9005,9005,9005,9005
9013,9013,9013,9013
9015,9015,9015,9015
9011,9011,9011,9011
36103,36103,36103,36103
9009,9009,9009,9009
9007,9007,9007,9007
9001,9001,9001,9001
34023,34023,34023,34023
34017,34017,34017,34017
34013,34013,34013,34013
34027,34027,34027,34027
34003,34003,34003,34003
34031,34031,34031,34031
34039,34039,34039,34039
34035,34035,34035,34035
34037,34037,34037,34037
