countyname,state,ssacounty,fips,msa,l,msaname,cbsa,cbsaname,cbsaold,cbsanameold,ssast,fipst,y2005,y2011,y2012,y2013,y2014,y2015,y2016,y2017
AUTAUGA,AL,1000,1001,5240,,"MONTGOMERY, AL",33860,"Montgomery, AL",33860,"Montgomery, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
BALDWIN,AL,1010,1003,5160,,"MOBILE, AL",,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
BARBOUR,AL,1020,1005,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
BIBB,AL,1030,1007,1,,ALABAMA,13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
BLOUNT,AL,1040,1009,1000,,"BIRMINGHAM, AL",13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
BULLOCK,AL,1050,1011,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
BUTLER,AL,1060,1013,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CALHOUN,AL,1070,1015,450,,"ANNISTON,AL",11500,"Anniston-Oxford, AL",11500,"Anniston-Oxford, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
CHAMBERS,AL,1080,1017,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CHEROKEE,AL,1090,1019,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CHILTON,AL,1100,1021,1,,ALABAMA,13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
CHOCTAW,AL,1110,1023,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CLARKE,AL,1120,1025,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CLAY,AL,1130,1027,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CLEBURNE,AL,1140,1029,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
COFFEE,AL,1150,1031,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
COLBERT,AL,1160,1033,2650,,"FLORENCE, AL",22520,"Florence-Muscle Shoals, AL",22520,"Florence-Muscle Shoals, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
CONECUH,AL,1170,1035,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
COOSA,AL,1180,1037,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
COVINGTON,AL,1190,1039,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CRENSHAW,AL,1200,1041,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
CULLMAN,AL,1210,1043,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
DALE,AL,1220,1045,2180,,"DOTHAN, AL",,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
DALLAS,AL,1230,1047,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
DE KALB,AL,1240,1049,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
ELMORE,AL,1250,1051,5240,,"MONTGOMERY, AL",33860,"Montgomery, AL",33860,"Montgomery, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
ESCAMBIA,AL,1260,1053,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
ETOWAH,AL,1270,1055,2880,,"GADSDEN, AL",23460,"Gadsden, AL",23460,"Gadsden, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
FAYETTE,AL,1280,1057,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
FRANKLIN,AL,1290,1059,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
GENEVA,AL,1300,1061,1,,ALABAMA,20020,"Dothan, AL",20020,"Dothan, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
GREENE,AL,1310,1063,1,,ALABAMA,46220,"Tuscaloosa, AL",46220,"Tuscaloosa, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
HALE,AL,1320,1065,1,,ALABAMA,46220,"Tuscaloosa, AL",46220,"Tuscaloosa, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
HENRY,AL,1330,1067,1,,ALABAMA,20020,"Dothan, AL",20020,"Dothan, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
HOUSTON,AL,1340,1069,2180,,"DOTHAN, AL",20020,"Dothan, AL",20020,"Dothan, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
JACKSON,AL,1350,1071,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
JEFFERSON,AL,1360,1073,1000,,"BIRMINGHAM, AL",13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
LAMAR,AL,1370,1075,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
LAUDERDALE,AL,1380,1077,2650,,"FLORENCE, AL",22520,"Florence-Muscle Shoals, AL",22520,"Florence-Muscle Shoals, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
LAWRENCE,AL,1390,1079,2030,,"DECATUR, AL",19460,"Decatur, AL",19460,"Decatur, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
LEE,AL,1400,1081,580,,"AUBURN-OPELIKA, AL",12220,"Auburn-Opelika, AL",12220,"Auburn-Opelika, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
LIMESTONE,AL,1410,1083,3440,,"HUNTSVILLE, AL",26620,"Huntsville, AL",26620,"Huntsville, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
LOWNDES,AL,1420,1085,1,,ALABAMA,33860,"Montgomery, AL",33860,"Montgomery, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
