https://www.nrcs.usda.gov/wps/portal/nrcs/detail/pa/home/?cid=nrcs143_013710,,
State,Before,After
CO,8031,8001
WY,parts of 56029,56047
WY,56039,56047
MO,29510,29189
VA,51540,51003
VA,51560,51005
VA,51580,51005
VA,51790,51015
VA,Ê51820,51015
VA,51515,51019
VA,51640,51035
VA,51570,51041
VA,51013,51059
VA,51510,51059
VA,51600,51059
VA,51610,51059
VA,51840,Ê51069
VA,51595,51081
VA,51780,51083
VA,51690,51089
VA,51830,51095
VA,51750,51121
VA,51590,51143
VA,51670,51149
VA,51730,51149
VA,51683,51153
VA,Ê51685,51153
VA,51770,51161
VA,51775,51161
VA,51530,51163
VA,51678,51163
VA,51660,51165
VA,51620,51175
VA,51630,51177
VA,51520,51191
VA,51720,51195
