st_code,state_id,state_name
72,PR,Puerto Rico
25,MA,Massachusetts
44,RI,Rhode Island
33,NH,New Hampshire
23,ME,Maine
50,VT,Vermont
09,CT,Connecticut
36,NY,New York
34,NJ,New Jersey
42,PA,Pennsylvania
10,DE,Delaware
11,DC,District of Columbia
51,VA,Virginia
24,MD,Maryland
54,WV,West Virginia
37,NC,North Carolina
45,SC,South Carolina
13,GA,Georgia
12,FL,Florida
01,AL,Alabama
47,TN,Tennessee
28,MS,Mississippi
21,KY,Kentucky
39,OH,Ohio
18,IN,Indiana
26,MI,Michigan
19,IA,Iowa
55,WI,Wisconsin
27,MN,Minnesota
46,SD,South Dakota
38,ND,North Dakota
30,MT,Montana
17,IL,Illinois
29,MO,Missouri
20,KS,Kansas
31,NE,Nebraska
22,LA,Louisiana
05,AR,Arkansas
40,OK,Oklahoma
48,TX,Texas
08,CO,Colorado
56,WY,Wyoming
16,ID,Idaho
49,UT,Utah
04,AZ,Arizona
35,NM,New Mexico
32,NV,Nevada
06,CA,California
15,HI,Hawaii
41,OR,Oregon
53,WA,Washington
02,AK,Alaska
