fips,state_code,state_id,state_name
01001,01,al,Alabama
01003,01,al,Alabama
01005,01,al,Alabama
01007,01,al,Alabama
01009,01,al,Alabama
01011,01,al,Alabama
01013,01,al,Alabama
01015,01,al,Alabama
01017,01,al,Alabama
01019,01,al,Alabama
01021,01,al,Alabama
01023,01,al,Alabama
01025,01,al,Alabama
01027,01,al,Alabama
01029,01,al,Alabama
01031,01,al,Alabama
01033,01,al,Alabama
01035,01,al,Alabama
01037,01,al,Alabama
01039,01,al,Alabama
01041,01,al,Alabama
01043,01,al,Alabama
01045,01,al,Alabama
01047,01,al,Alabama
01049,01,al,Alabama
01051,01,al,Alabama
01053,01,al,Alabama
01055,01,al,Alabama
01057,01,al,Alabama
01059,01,al,Alabama
01061,01,al,Alabama
01063,01,al,Alabama
01065,01,al,Alabama
01067,01,al,Alabama
01069,01,al,Alabama
01071,01,al,Alabama
01073,01,al,Alabama
01075,01,al,Alabama
01077,01,al,Alabama
01079,01,al,Alabama
01081,01,al,Alabama
01083,01,al,Alabama
01085,01,al,Alabama
01087,01,al,Alabama
01089,01,al,Alabama
01091,01,al,Alabama
01093,01,al,Alabama
01095,01,al,Alabama
01097,01,al,Alabama
01099,01,al,Alabama
01101,01,al,Alabama
01103,01,al,Alabama
01105,01,al,Alabama
01107,01,al,Alabama
01109,01,al,Alabama
01111,01,al,Alabama
01113,01,al,Alabama
01115,01,al,Alabama
01117,01,al,Alabama
01119,01,al,Alabama
01121,01,al,Alabama
01123,01,al,Alabama
01125,01,al,Alabama
01127,01,al,Alabama
01129,01,al,Alabama
01131,01,al,Alabama
01133,01,al,Alabama
02013,02,ak,Alaska
02016,02,ak,Alaska
02020,02,ak,Alaska
02050,02,ak,Alaska
02060,02,ak,Alaska
02068,02,ak,Alaska
02070,02,ak,Alaska
02090,02,ak,Alaska
02100,02,ak,Alaska
02105,02,ak,Alaska
02110,02,ak,Alaska
02122,02,ak,Alaska
02130,02,ak,Alaska
02150,02,ak,Alaska
02158,02,ak,Alaska
02164,02,ak,Alaska
02170,02,ak,Alaska
02180,02,ak,Alaska
02185,02,ak,Alaska
02188,02,ak,Alaska
02195,02,ak,Alaska
02198,02,ak,Alaska
02220,02,ak,Alaska
02230,02,ak,Alaska
02240,02,ak,Alaska
02261,02,ak,Alaska
02275,02,ak,Alaska
02282,02,ak,Alaska
02290,02,ak,Alaska
04001,04,az,Arizona
04003,04,az,Arizona
04005,04,az,Arizona
04007,04,az,Arizona
04009,04,az,Arizona
04011,04,az,Arizona
04012,04,az,Arizona
04013,04,az,Arizona
04015,04,az,Arizona
04017,04,az,Arizona
04019,04,az,Arizona
04021,04,az,Arizona
04023,04,az,Arizona
04025,04,az,Arizona
04027,04,az,Arizona
05001,05,ar,Arkansas
05003,05,ar,Arkansas
05005,05,ar,Arkansas
05007,05,ar,Arkansas
05009,05,ar,Arkansas
05011,05,ar,Arkansas
05013,05,ar,Arkansas
05015,05,ar,Arkansas
05017,05,ar,Arkansas
05019,05,ar,Arkansas
05021,05,ar,Arkansas
05023,05,ar,Arkansas
05025,05,ar,Arkansas
05027,05,ar,Arkansas
05029,05,ar,Arkansas
05031,05,ar,Arkansas
05033,05,ar,Arkansas
05035,05,ar,Arkansas
05037,05,ar,Arkansas
05039,05,ar,Arkansas
05041,05,ar,Arkansas
05043,05,ar,Arkansas
05045,05,ar,Arkansas
