msa,zip,weight
10180,76437,0.02272330012235623
10180,76443,0.9304164470216132
10180,76464,0.06324110671936757
10180,76469,1.0
10180,79501,1.0
10180,79503,1.0
10180,79504,0.9956942949407964
10180,79508,1.0
10180,79510,0.9954898521673766
10180,79520,0.9681502654144548
10180,79525,1.0
10180,79530,1.0
10180,79533,0.8792372881355932
10180,79536,0.9967923015236567
10180,79541,1.0
10180,79553,0.9760737964831364
10180,79560,0.12408759124087593
10180,79561,0.7719033232628398
10180,79562,1.0
10180,79563,1.0
10180,79566,0.5105105105105106
10180,79567,0.019270678920841985
10180,79601,0.9861271676300578
10180,79602,0.9999999999999999
10180,79603,1.0
10180,79605,1.0
10180,79606,1.0
10180,79607,1.0
10180,79699,1.0
10380,00601,0.005654281098546043
10380,00602,1.0
10380,00603,1.0
10380,00610,1.0
10380,00631,0.6700863930885529
10380,00641,0.997916065531724
10380,00650,0.11841578877183626
10380,00662,1.0
10380,00664,0.008460438512869399
10380,00669,0.9938138784292632
10380,00670,0.01121647802589987
10380,00676,0.9999999999999998
10380,00677,1.0000000000000002
10380,00678,0.06829864481110032
10380,00680,0.00455796353629171
10380,00685,0.9999999999999999
10380,00690,1.0
10420,44056,1.0
10420,44067,1.0
10420,44087,1.0
10420,44141,0.020652563642882756
10420,44201,0.989446291744976
10420,44202,0.9916159705536528
10420,44203,0.9969453064391
10420,44216,0.9358674877893396
10420,44221,1.0
10420,44223,1.0
10420,44224,0.9999999999999999
10420,44231,0.8962445835339432
10420,44234,0.7366412213740458
10420,44236,1.0
10420,44240,0.9999999999999999
10420,44241,1.0
10420,44243,1.0
10420,44250,1.0
10420,44255,1.0
10420,44256,0.0007737068618127308
10420,44260,0.9295910780669144
10420,44262,1.0
10420,44264,1.0
10420,44265,1.0
10420,44266,1.0
10420,44272,1.0
10420,44278,1.0000000000000002
10420,44281,0.0045069105962475785
10420,44285,1.0
10420,44286,1.0
10420,44288,1.0
10420,44301,1.0
10420,44302,1.0
10420,44303,1.0
10420,44304,1.0
10420,44305,1.0
10420,44306,1.0
10420,44307,1.0
10420,44308,1.0
10420,44310,1.0
10420,44311,1.0
10420,44312,0.9999999999999999
10420,44313,1.0
10420,44314,1.0
10420,44319,1.0
10420,44320,1.0
10420,44321,0.99625
10420,44333,0.9979747375153228
10420,44411,1.0
10420,44412,0.8392586989409985
10420,44429,0.024844720496894408
10420,44444,0.0904916778266692
10420,44449,0.4693877551020408
10420,44491,0.007681365576102419
10420,44614,0.0148471615720524
10420,44632,0.052841781874039935
10420,44685,0.5079111627231819
10420,44720,0.08936170212765958
10500,31701,1.0000000000000002
10500,31705,0.9800084352593841
10500,31707,0.9999999999999999
10500,31714,0.026258881680568433
10500,31721,0.9964667827817865
10500,31743,0.09047619047619047
10500,31744,0.3853841349156777
10500,31763,1.0
10500,31764,0.04861111111111111
10500,31771,0.01376632545005295
10500,31772,1.0
10500,31775,0.09298422289358846
10500,31781,1.0
10500,31787,0.7661290322580645
10500,31789,1.0
10500,31791,1.0
10500,31795,0.3288557213930348
10500,31796,1.0
10500,39826,1.0
10500,39842,0.9974871365322484
10500,39877,0.622
10500,39885,1.0
10500,39886,0.04146039603960396
10540,97321,0.6568918485237484
10540,97322,1.0
10540,97327,1.0
10540,97329,1.0
10540,97333,0.05973710062216401
10540,97345,1.0
10540,97346,0.3782559456398641
10540,97348,1.0
10540,97350,0.3901098901098901
10540,97352,0.014810849393290509
10540,97355,1.0
10540,97358,0.7282608695652174
10540,97360,0.7959092930191196
10540,97374,1.0
10540,97377,1.0
10540,97383,0.08480233649734015
10540,97386,1.0
10540,97389,1.0
10540,97413,0.006557377049180328
10540,97446,0.9960515378221114
10540,97759,0.0025421035907213217
10580,12007,1.0
10580,12008,1.0
10580,12009,1.0
10580,12010,0.03832463627881259
10580,12018,1.0
10580,12019,1.0000000000000002
10580,12020,1.0
10580,12022,1.0
10580,12023,1.0
10580,12025,0.09827429609445958
10580,12027,1.0
10580,12028,0.6774744027303754
10580,12031,1.0
10580,12033,1.0
10580,12035,1.0
10580,12036,0.8464912280701754
10580,12040,1.0
10580,12041,1.0
10580,12043,0.9994123868844752
10580,12045,1.0
10580,12046,0.9645042839657284
10580,12047,1.0
10580,12052,1.0
10580,12053,0.9880095923261392
10580,12054,1.0
10580,12056,1.0
10580,12057,0.23814713896457765
10580,12059,1.0
10580,12061,1.0
10580,12062,0.9037162162162162
10580,12063,1.0
10580,12064,0.0852575488454707
10580,12065,1.0
10580,12066,0.6938870741950537
10580,12067,1.0
10580,12071,1.0
10580,12074,1.0
10580,12076,1.0
10580,12077,1.0
10580,12083,0.33886693017127806
10580,12084,1.0
10580,12085,1.0
10580,12086,0.17319034852546916
10580,12087,0.1276794035414725
10580,12089,1.0
10580,12090,1.0
10580,12092,1.0
10580,12093,0.7929171668667467
10580,12094,0.9585537918871252
10580,12110,1.0
10580,12118,1.0000000000000002
10580,12120,0.9559543230016312
10580,12121,1.0
10580,12122,1.0
10580,12123,1.0
10580,12131,1.0
10580,12134,0.2821387940841866
10580,12137,0.7736748064324003
10580,12138,1.0
10580,12140,1.0
10580,12143,0.9365388358964376
10580,12144,1.0
10580,12147,1.0
10580,12148,1.0
10580,12149,1.0
10580,12150,1.0
10580,12151,1.0
10580,12153,1.0
10580,12154,0.8222143364088006
10580,12156,0.8207547169811321
10580,12157,0.9999999999999999
10580,12158,1.0
10580,12159,1.0
10580,12160,1.0
10580,12161,1.0
10580,12166,0.0036683785766691117
10580,12167,0.302707136997539
10580,12168,1.0
10580,12169,1.0
10580,12170,1.0
10580,12175,1.0
10580,12180,1.0
10580,12182,1.0
10580,12183,1.0
10580,12184,0.01175153889199776
10580,12185,0.8762886597938144
10580,12186,1.0
10580,12187,1.0
10580,12188,1.0
10580,12189,1.0
10580,12193,1.0
10580,12194,1.0
10580,12196,1.0
10580,12198,1.0
10580,12202,1.0
10580,12203,1.0
10580,12204,1.0
10580,12205,1.0
10580,12206,1.0
10580,12207,1.0
10580,12208,1.0
10580,12209,1.0
10580,12210,1.0
10580,12211,1.0
10580,12222,1.0
10580,12302,1.0
10580,12303,1.0
10580,12304,1.0
10580,12305,1.0
10580,12306,1.0
