jhu_uid,fips,weight
16,60000,1.0
316,66000,1.0
580,69000,1.0
630,72000,1.0
63072001,72001,1.0
63072003,72003,1.0
63072005,72005,1.0
63072007,72007,1.0
63072009,72009,1.0
63072011,72011,1.0
63072013,72013,1.0
63072015,72015,1.0
63072017,72017,1.0
63072019,72019,1.0
63072021,72021,1.0
63072023,72023,1.0
63072025,72025,1.0
63072027,72027,1.0
63072029,72029,1.0
63072031,72031,1.0
63072033,72033,1.0
63072035,72035,1.0
63072037,72037,1.0
63072039,72039,1.0
63072041,72041,1.0
63072043,72043,1.0
63072045,72045,1.0
63072047,72047,1.0
63072049,72049,1.0
63072051,72051,1.0
63072053,72053,1.0
63072054,72054,1.0
63072055,72055,1.0
63072057,72057,1.0
63072059,72059,1.0
63072061,72061,1.0
63072063,72063,1.0
63072065,72065,1.0
63072067,72067,1.0
63072069,72069,1.0
63072071,72071,1.0
63072073,72073,1.0
63072075,72075,1.0
63072077,72077,1.0
63072079,72079,1.0
63072081,72081,1.0
63072083,72083,1.0
63072085,72085,1.0
63072087,72087,1.0
63072089,72089,1.0
63072091,72091,1.0
63072093,72093,1.0
63072095,72095,1.0
63072097,72097,1.0
63072099,72099,1.0
63072101,72101,1.0
63072103,72103,1.0
63072105,72105,1.0
63072107,72107,1.0
63072109,72109,1.0
63072111,72111,1.0
63072113,72113,1.0
63072115,72115,1.0
63072117,72117,1.0
63072119,72119,1.0
63072121,72121,1.0
63072123,72123,1.0
63072125,72125,1.0
63072127,72127,1.0
63072129,72129,1.0
63072131,72131,1.0
63072133,72133,1.0
63072135,72135,1.0
63072137,72137,1.0
63072139,72139,1.0
63072141,72141,1.0
63072143,72143,1.0
63072145,72145,1.0
63072147,72147,1.0
63072149,72149,1.0
63072151,72151,1.0
63072153,72153,1.0
63072888,72000,1.0
63072999,72000,1.0
84000001,01000,1.0
84000002,02000,1.0
84000004,04000,1.0
84000005,05000,1.0
84000006,06000,1.0
84000008,08000,1.0
84000009,09000,1.0
84000010,10000,1.0
84000011,11000,1.0
84000012,12000,1.0
84000013,13000,1.0
84000015,15000,1.0
84000016,16000,1.0
84000017,17000,1.0
84000018,18000,1.0
84000019,19000,1.0
84000020,20000,1.0
84000021,21000,1.0
84000022,22000,1.0
84000023,23000,1.0
84000024,24000,1.0
84000025,25000,1.0
84000026,26000,1.0
84000027,27000,1.0
84000028,28000,1.0
84000029,29000,1.0
84000030,30000,1.0
84000031,31000,1.0
84000032,32000,1.0
84000033,33000,1.0
84000034,34000,1.0
84000035,35000,1.0
84000036,36000,1.0
84000037,37000,1.0
84000038,38000,1.0
84000039,39000,1.0
84000040,40000,1.0
84000041,41000,1.0
84000042,42000,1.0
84000044,44000,1.0
84000045,45000,1.0
84000046,46000,1.0
84000047,47000,1.0
84000048,48000,1.0
84000049,49000,1.0
84000050,50000,1.0
84000051,51000,1.0
84000053,53000,1.0
84000054,54000,1.0
84000055,55000,1.0
84000056,56000,1.0
84001001,01001,1.0
84001003,01003,1.0
84001005,01005,1.0
84001007,01007,1.0
84001009,01009,1.0
84001011,01011,1.0
84001013,01013,1.0
